longitude,latitude,article_id
106.7315547,10.7862056,268757.0
106.6218333,10.7722032,268756.0
106.6097136,10.7668548,268751.0
106.6036208,10.7835115,268749.0
,,268748.0
106.6319929,10.7702591,268741.0
106.6984046,10.8066221,268740.0
106.8255164,10.8243618,268738.0
,,268736.0
106.6370296,10.7692686,268735.0
106.7214559,10.7978383,268730.0
106.7874182,10.8579581,268729.0
106.7497343,10.7878685,268726.0
106.7009933,10.811048,268717.0
106.6880151,10.830303,268716.0
106.5702661,10.8647721,268715.0
106.6236068,10.7401352,268711.0
106.7703955,10.8693178,268709.0
106.7114321,10.8024689,268708.0
106.6984046,10.8066221,268705.0
106.7545009,10.8076573,268702.0
106.7618557,10.8447022,268698.0
106.79265,10.8610436,268696.0
106.7741562,10.8337836,268695.0
106.7315547,10.7862056,268694.0
106.7315547,10.7862056,268693.0
106.7315547,10.7862056,268692.0
106.7315547,10.7862056,268691.0
106.7315547,10.7862056,268690.0
106.7315547,10.7862056,268689.0
106.7315547,10.7862056,268688.0
,,268686.0
106.7109287,10.8012298,268684.0
106.6324795,10.803928,268681.0
106.6324795,10.803928,268680.0
,,268679.0
106.6652331,10.8516308,268677.0
106.6642851,10.8537373,268669.0
106.6041103,10.7797669,268666.0
,,268664.0
106.6068788,10.7667344,268663.0
106.6028096,10.7178596,268660.0
106.6097136,10.7668548,268659.0
106.6036208,10.7835115,268658.0
,,268656.0
106.6068788,10.7667344,268654.0
106.6068788,10.7667344,268648.0
106.6071343,10.728024,268647.0
106.6068788,10.7667344,268646.0
106.6652331,10.8516308,268639.0
,,268638.0
106.7315547,10.7862056,268629.0
106.7315547,10.7862056,268627.0
106.7315547,10.7862056,268626.0
106.7315547,10.7862056,268625.0
106.7315547,10.7862056,268624.0
106.7315547,10.7862056,268622.0
106.7138973,10.8352392,268619.0
,,268618.0
,,268617.0
106.7811045,10.8425643,268616.0
106.6097136,10.7668548,268613.0
106.6097136,10.7668548,268612.0
106.6991663,10.8055289,268609.0
106.5698286,10.833311,268608.0
,,268605.0
106.6381048,10.787108,268603.0
106.7280427,10.7526064,268601.0
106.6237735,10.812483,268600.0
