longitude,latitude,article_id
,,285164.0
106.6480738,10.7747842,285163.0
106.6804249,10.7993691,285162.0
106.6766869,10.761255,285161.0
106.7440612,10.8409364,285142.0
106.656269,10.7632534,285135.0
106.7090062,10.80306,285129.0
106.7382355,10.8395982,285127.0
106.6860407,10.7526831,285124.0
106.70541785549418,10.7682825,285118.0
106.626348,10.7129752,285109.0
106.6242973,10.7727358,285102.0
106.6362851,10.8373485,285100.0
,,285099.0
106.7449315,10.7937965,285098.0
106.7710403,10.8482918,285097.0
,,285086.0
106.7449315,10.7937965,285079.0
106.6244037,10.8116821,285076.0
106.6639667,10.7956238,285075.0
106.6424777,10.786296,285074.0
,,285073.0
106.8234697,10.7971015,285066.0
106.7878724,10.8581456,285065.0
106.7449315,10.7937965,285063.0
106.7177421,10.7509418,285059.0
106.6122042,10.6984398,285057.0
106.7732271,10.8437063,285048.0
106.7732271,10.8437063,285047.0
106.6353835,10.8050282,285044.0
106.6396031,10.8351122,285038.0
,,285032.0
106.6839379,10.7927646,285024.0
106.7611736,10.8600716,285023.0
106.6742377,10.7817734,284992.0
106.6598368,10.842117,284982.0
106.5714128,10.761689,284979.0
,,284978.0
,,284975.0
106.626718,10.7669112,284973.0
106.626718,10.7669112,284972.0
,,284971.0
106.6694581,10.8307717,284968.0
106.6068788,10.7667344,284964.0
106.6482618,10.7750421,284952.0
106.6642851,10.8537373,284950.0
106.6912801,10.8258485,284947.0
106.6639667,10.7956238,284945.0
106.6694581,10.8307717,284942.0
,,284927.0
106.6297821,10.7881603,284914.0
106.7513277,10.8535754,284908.0
106.6878297,10.8150491,284904.0
,,284902.0
,,284899.0
,,284896.0
,,284888.0
106.6381048,10.787108,284885.0
106.6476765,10.7752443,284884.0
106.6476765,10.7752443,284881.0
106.6598368,10.842117,284872.0
,,284867.0
106.7878724,10.8581456,284865.0
106.7750575,10.7961278,284864.0
,,284862.0
,,284861.0
106.6337752,10.8260967,284857.0
106.6337752,10.8260967,284856.0
,,284855.0
,,284854.0
,,284847.0
,,284845.0
,,284844.0
106.6820288,10.8900889,284830.0
,,284827.0
,,284819.0
106.61103987272804,10.71976875,284818.0
,,284813.0
,,284812.0
106.6428587,10.7572049,284801.0
,,284796.0
106.6694581,10.8307717,284791.0
106.624253,10.7790986,284790.0
106.624253,10.7790986,284789.0
106.6381048,10.787108,284784.0
106.6381048,10.787108,284783.0
,,284769.0
106.8596391,10.8087936,284768.0
,,284755.0
,,284743.0
106.6205554,10.7930699,284737.0
106.6566865,10.737689,284730.0
106.6122042,10.6984398,284728.0
,,284706.0
106.6507062,10.8410073,284704.0
106.6598368,10.842117,284701.0
106.6900889,10.8023275,284698.0
,,284696.0
106.6880151,10.830303,284690.0
106.6880151,10.830303,284689.0
106.7382355,10.8395982,284679.0
106.6942034,10.8202678,284678.0
,,284675.0
,,284666.0
106.7878724,10.8581456,284655.0
,,284644.0
,,284643.0
106.7849246,10.7800229,284642.0
106.6381048,10.787108,284639.0
,,284635.0
,,284634.0
106.658344,10.8364264,284629.0
,,284627.0
106.6532078,10.7927004,284626.0
106.6532078,10.7927004,284625.0
106.79265,10.8610436,284624.0
106.6353835,10.8050282,284617.0
106.6827396,10.788936,284616.0
,,284607.0
106.6215157,10.7736823,284606.0
106.626718,10.7669112,284600.0
,,284592.0
106.6298312,10.8235825,284587.0
106.6860407,10.7526831,284586.0
106.5801119,10.6931897,284578.0
,,284575.0
106.658344,10.8364264,284571.0
106.658344,10.8364264,284570.0
,,284569.0
,,284568.0
106.7715466,10.8648209,284567.0
106.6235253,10.8380911,284566.0
106.7382355,10.8395982,284565.0
,,284563.0
106.6320987,10.8732795,284562.0
,,284561.0
106.7750575,10.7961278,284559.0
106.6424777,10.786296,284558.0
106.6537412,10.7989516,284557.0
106.6804249,10.7993691,284542.0
106.6229137,10.7533152,284534.0
106.789802,10.8012392,284533.0
106.5854885,10.7506285,284519.0
106.6055133,10.7396064,284518.0
106.7114321,10.8024689,284516.0
,,284513.0
106.5416889,10.7367391,284510.0
106.6029022,10.758912,284508.0
106.6482618,10.7750421,284506.0
106.6313729,10.8222064,284493.0
106.648631,10.783532,284492.0
,,284491.0
106.6056798,10.7595344,284486.0
,,284479.0
106.6769951,10.7375662,284477.0
106.6769951,10.7375662,284476.0
,,284472.0
106.6097136,10.7668548,284471.0
